Date,L&G Longer Dated All Commodities UCITS ETF
1990-12,10000
1991-01,10000
1991-02,9931.42871034884
1991-03,10879.263451999843
1991-04,11471.65736801019
1991-05,11583.605143147695
1991-06,11761.219932563621
1991-07,12264.916409919726
1991-08,11945.120097086528
1991-09,11721.08613864739
1991-10,11814.92929286109
1991-11,11147.254973156701
1991-12,10495.64875362905
1992-01,10804.80062359028
1992-02,11098.207033545756
1992-03,11436.213136162893
1992-04,11408.837357724871
1992-05,11575.132409441407
1992-06,11263.545952552053
1992-07,10567.218217270567
1992-08,10169.99677708916
1992-09,10434.066523458241
1992-10,10620.514183391533
1992-11,11319.1902016784
1992-12,11358.859313470524
1993-01,11572.559465328219
1993-02,11949.660861904667
1993-03,12279.730768545327
1993-04,12005.573258778617
1993-05,11895.968293053209
1993-06,12300.099974361134
1993-07,13032.306528205492
1993-08,12882.903254336014
1993-09,12060.445490283464
1993-10,12129.44045357201
1993-11,12412.876184379838
1993-12,12693.602022385177
1994-01,13049.556868872998
1994-02,13034.048613666377
1994-03,12769.28240818858
1994-04,12982.228381077293
1994-05,13442.042012660291
1994-06,13431.164827541452
1994-07,13310.509274083595
1994-08,13145.17954330932
1994-09,13137.72147295045
1994-10,12967.283383090095
1994-11,13235.277119974533
1994-12,13834.258908050911
1995-01,13537.18769580657
1995-02,13361.969595760811
1995-03,13163.625092636481
1995-04,13143.252046531446
1995-05,13334.408390872319
1995-06,13013.008283401263
1995-07,13090.564636278514
1995-08,13678.659938151046
1995-09,14073.316965601267
1995-10,13966.508196753844
1995-11,14117.631673539085
1995-12,14760.378283655606
1996-01,15042.342980421437
1996-02,15405.816776472064
1996-03,15844.034445922845
1996-04,16403.762461535378
1996-05,16666.048360292483
1996-06,16507.298188615594
1996-07,16059.937457670017
1996-08,16635.366301602553
1996-09,16801.701173817415
1996-10,16576.662953934796
1996-11,16876.364079712424
1996-12,17545.281498857923
1997-01,18323.836014071505
1997-02,19516.74422618507
1997-03,20136.195322563806
1997-04,20429.6193545238
1997-05,20519.250650968424
1997-06,19987.888876310866
1997-07,21037.19219314426
1997-08,21717.23569949676
1997-09,21311.05588298133
1997-10,20980.05184271347
1997-11,20179.989923936246
1997-12,20071.8527261902
1998-01,20629.850868189595
1998-02,19975.54841291117
1998-03,19988.007413253803
1998-04,19716.69340037204
1998-05,18613.131885434424
1998-06,18499.682770909854
1998-07,17662.390110546698
1998-08,16568.212428576346
1998-09,16747.339635950153
1998-10,15842.510229843056
1998-11,15603.478754785643
1998-12,14923.023831165214
1999-01,15301.90908101789
1999-02,15308.947934954655
1999-03,16986.86750627855
1999-04,17883.77172293054
1999-05,17242.898981507926
1999-06,18396.542781165335
1999-07,17945.746226958825
1999-08,19100.463717737886
1999-09,19931.265188462687
1999-10,19946.98733207992
1999-11,20988.41084213271
1999-12,21760.188304353553
2000-01,23383.039768034643
2000-02,23862.954350368414
2000-03,24921.647390438055
2000-04,25935.726623168743
2000-05,26893.57671576535
2000-06,26476.883582869028
2000-07,26455.020372462623
2000-08,29715.988190483145
2000-09,30505.312715655087
2000-10,30976.58049344914
2000-11,31449.517920361017
2000-12,28924.872265726848
2001-01,29247.299060974
2001-02,29413.0307641656
2001-03,29709.365123978867
2001-04,30516.698939427755
2001-05,31369.697073962914
2001-06,30448.206576473214
2001-07,29720.29129234156
2001-08,28452.784342951098
2001-09,27029.333857144953
2001-10,26118.325786366604
2001-11,27009.145413151142
2001-12,26765.629662808497
2002-01,27452.204799070645
2002-02,28091.104242206256
2002-03,30522.293770178927
2002-04,29588.050878576567
2002-05,28201.933538584948
2002-06,27101.423743126048
2002-07,27395.425856320668
2002-08,28593.91573729984
2002-09,29168.786008560255
2002-10,29051.94926156429
2002-11,28945.63197581189
2002-12,28404.073692441885
2003-01,29417.742753275776
2003-02,30133.890871827927
2003-03,28289.474137047502
2003-04,27838.379285233303
2003-05,27569.251344943325
2003-06,27991.58705527483
2003-07,28486.565111984986
2003-08,30612.407141239124
2003-09,28829.29251801116
2003-10,30381.594814571632
2003-11,29531.761229003612
2003-12,29843.093001797213
2004-01,31364.53305247442
2004-02,33424.89311814955
2004-03,35195.09460433506
2004-04,35654.641733912336
2004-05,36027.121289076415
2004-06,35257.147464530964
2004-07,36413.18261305643
2004-08,36399.164796540295
2004-09,37824.96445896256
2004-10,37864.77741783014
2004-11,36348.860932899035
2004-12,34559.48980072365
2005-01,36756.789103875366
2005-02,39075.406598747926
2005-03,41987.16687160105
2005-04,40238.70413915641
2005-05,42128.196533150716
2005-06,44170.5937936587
2005-07,46297.26533152212
2005-08,48859.10620729804
2005-09,51802.39123784611
2005-10,49496.43789378756
2005-11,51329.837854162965
2005-12,54075.56149656943
2006-01,55353.53598131167
2006-02,53865.99025537071
2006-03,54353.60050444797
2006-04,56232.33128519755
2006-05,55316.82856211552
2006-06,55653.099756625146
2006-07,57317.41470334502
2006-08,55629.40641187119
2006-09,53393.227654557675
2006-10,56018.045583772924
2006-11,57233.55718640536
2006-12,55494.36267043399
2007-01,56431.96325426986
2007-02,57504.73677498478
2007-03,57836.67595711811
2007-04,57647.165540640584
2007-05,58566.614803456716
2007-06,58015.10464860211
2007-07,58677.094180564476
2007-08,57028.561660432126
2007-09,59586.28995991218
2007-10,60606.126581167264
2007-11,58322.177215991615
2007-12,61623.43196055316
2008-01,64077.37634618368
2008-02,70659.33277345142
2008-03,64053.34612844845
2008-04,67810.02428093117
2008-05,70419.57546395021
2008-06,75890.24031497951
2008-07,67852.52815677578
2008-08,66856.87185503822
2008-09,60875.799818422594
2008-10,54421.49846354947
2008-11,50971.77930794176
2008-12,45247.446156064245
2009-01,46763.294481621095
2009-02,45601.99756436275
2009-03,45166.624756231744
2009-04,45715.153346330924
2009-05,48436.16010316123
2009-06,47488.24329017936
2009-07,48998.57577772107
2009-08,48478.62510015753
2009-09,47862.46218966907
2009-10,48984.44280847844
2009-11,50350.94100129254
2009-12,53409.61975938349
2010-01,51252.225165468735
2010-02,54789.81216699432
2010-03,54708.522753729645
2010-04,56937.34753196027
2010-05,57376.49237109924
